access auth1_fms...
generate particleKey...
access auth2_fms...
--------------------
authentication success.
20240515213500 ラジオ日本ニュース・天気予報
20240515214500 メロディ・フェア
20240515220000 きのうの続きのつづき
20240515221500 清水節子のムーンナイトトーク
20240515223000 登紀子とＹａｅの地球に乾杯！
20240515230000 Ｌｉｓｔｅｎ　ｔｏ　ｔｈｅ　Ｍｕｓｉｃ
20240515233000 近兼拓史のウィークリーワールドニュース
20240516000000 MarumaruLounge 丸々もとおの賢人会議
20240516003000 トラック王国の「Ｂｏｏ！Ｂｏｏ！Ｂｏｏ！」
20240516010000 ハマビジ！
20240516013000 美魔王のミッドナイトニッポン
20240516020000 長坂嘉明の演歌の旅
20240516023000 フォーエバーミュージック
20240516033000 三浦崇宏と青木真也の「人生交差点」
20240516040000 おはよう歌一番
access auth1_fms...
generate particleKey...
access auth2_fms...
--------------------
authentication success.
area_id: JP13
http://radiko.jp/v3/program/date/20240514/JP13.xml
20240514050000 ラジオ日本ニュース
20240514051000 good day
20240514052500 今月の推薦曲
20240514053000 えんか侍
20240514055500 ラジオ日本ニュース・天気予報
20240514060000 ウェイクアップミュージック
20240514063000 岩瀬惠子のスマートＮＥＷＳ(1)
20240514070000 岩瀬惠子のスマートＮＥＷＳ(2)
20240514080000 岩瀬惠子のスマートＮＥＷＳ(3)
20240514085000 坂上みきのエンタメgo!go!
20240514090000 ＳＷＥＥＴ！！(1)
20240514100000 ＳＷＥＥＴ！！(2)
20240514110000 ＳＷＥＥＴ！！(3)
20240514115500 ラジオ日本ニュース・天気予報
20240514120000 加藤裕介の横浜ポップＪ(1)
20240514130000 加藤裕介の横浜ポップＪ(2)
20240514140000 加藤裕介の横浜ポップＪ(3)
20240514150000 夏木ゆたかのホッと歌謡曲(1)
20240514160000 夏木ゆたかのホッと歌謡曲(2)
20240514170000 夏木ゆたかのホッと歌謡曲(3)
20240514175000 ラジオ日本ニュース・天気予報
20240514180000 ６０ＴＲＹ部(1)
20240514190000 ６０ＴＲＹ部(2)
20240514200000 ６０ＴＲＹ部(3)
20240514210000 ザ・スタンダード
20240514213000 今月の推薦曲
20240514213500 ラジオ日本ニュース・天気予報
20240514214500 ＥＡＣＨ ＴＩＭＥ ＭＵＳＩＣ
20240514220000 きのうの続きのつづき
20240514221500 ミヤリサン製薬 ラジオ劇場　下町ロケット　ヤタガラス編
20240514223000 池坊専宗の団子より花
20240514230000 Ｌｉｓｔｅｎ　ｔｏ　ｔｈｅ　Ｍｕｓｉｃ
20240514233000 東進産業プレゼンツ FOLLOW YOUR DREAM
20240515000000 ＮＯＷ　ラジオ　ｂｙ　ｕｎｉａｉｍ
20240515003000 埼玉 彩響のおもてなし
20240515010000 M-TRUST RADIO
20240515013000 ミヤシタ ファーム
20240515020000 キョートリアル！　～コンニチ的チュートリアル～
20240515023000 フォーエバーミュージック
20240515033000 Midnight Mix
20240515040000 おはよう歌一番
access auth1_fms...
generate particleKey...
access auth2_fms...
--------------------
authentication success.
area_id: JP13
http://radiko.jp/v3/program/date/20240513/JP13.xml
20240513050000 ラジオ日本ニュース
20240513051000 今旬！インフォメーション
20240513052500 ラジオ日本パワーチューン
20240513053000 えんか侍
20240513055500 ラジオ日本ニュース・天気予報
20240513060000 ウェイクアップミュージック
20240513063000 岩瀬惠子のスマートＮＥＷＳ(1)
20240513070000 岩瀬惠子のスマートＮＥＷＳ(2)
20240513080000 岩瀬惠子のスマートＮＥＷＳ(3)
20240513085000 坂上みきのエンタメgo!go!
20240513090000 ＳＷＥＥＴ！！(1)
20240513100000 ＳＷＥＥＴ！！(2)
20240513110000 ＳＷＥＥＴ！！(3)
20240513115500 ラジオ日本ニュース・天気予報
20240513120000 加藤裕介の横浜ポップＪ(1)
20240513130000 加藤裕介の横浜ポップＪ(2)
20240513140000 加藤裕介の横浜ポップＪ(3)
20240513150000 夏木ゆたかのホッと歌謡曲(1)
20240513160000 夏木ゆたかのホッと歌謡曲(2)
20240513170000 夏木ゆたかのホッと歌謡曲(3)
20240513175000 ラジオ日本ニュース・天気予報
20240513180000 ザ・スタンダード
20240513183000 よしもと囲碁将棋バラエティー　『イゴナマ！！』（前半）
20240513190000 商船三井さんふらわあ　プレゼンツ　めざせ！北海道！！
20240513193000 よしもと囲碁将棋バラエティー　『イゴナマ！！』（後半）
20240513203000 すぎもとまさとのBarスターライト
20240513210000 エシカルＷＡＶＥ　ｆｏｒ　ＳＤＧｓ
20240513213000 森川由加里　青春グラフィティー
20240513220000 栄ちゃんステーション
20240513221500 八代亜紀さん“想い出通り”
20240513223000 黒川泰子のエレガントナイト
20240513224500 Rili.のドリームエンタメラボ
20240513230000 i☆Ris芹澤優のせりざわーるど with you
20240513233000 ミュージックプレイリスト
20240514000000 横浜ユーポスＲＡＤＩＯ＋！（ラジオプラス）
20240514003000 てぃあどろっぷ！のてぃらじお！
20240514010000 ミュージック・コンボイ
20240514020000 志の輔＆雷鳥のなんでか？ニッポン
20240514023000 フォーエバーミュージック
20240514033000 タカハシシンノスケ・鈴木浩文はラジオがやりたい。
20240514040000 おはよう歌一番
access auth1_fms...
generate particleKey...
access auth2_fms...
--------------------
authentication success.
area_id: JP13
http://radiko.jp/v3/program/date/20240521/JP13.xml
20240521050000 ラジオ日本ニュース
20240521051000 good day
20240521052500 今月の推薦曲
20240521053000 えんか侍
20240521055500 ラジオ日本ニュース・天気予報
20240521060000 ウェイクアップミュージック
20240521063000 岩瀬惠子のスマートＮＥＷＳ(1)
20240521070000 岩瀬惠子のスマートＮＥＷＳ(2)
20240521080000 岩瀬惠子のスマートＮＥＷＳ(3)
20240521085000 坂上みきのエンタメgo!go!
20240521090000 ＳＷＥＥＴ！！(1)
20240521100000 ＳＷＥＥＴ！！(2)
20240521110000 ＳＷＥＥＴ！！(3)
20240521115500 ラジオ日本ニュース・天気予報
20240521120000 加藤裕介の横浜ポップＪ(1)
20240521130000 加藤裕介の横浜ポップＪ(2)
20240521140000 加藤裕介の横浜ポップＪ(3)
20240521150000 夏木ゆたかのホッと歌謡曲(1)
20240521160000 夏木ゆたかのホッと歌謡曲(2)
20240521170000 夏木ゆたかのホッと歌謡曲(3)
20240521175000 ラジオ日本ニュース・天気予報
20240521175500 ラジオ日本ジャイアンツナイター　巨人×中日～東京ドーム
20240521210000 ジャイアンツ・タイムズ
20240521213000 今月の推薦曲
20240521213500 ラジオ日本ニュース・天気予報
20240521214500 ＥＡＣＨ ＴＩＭＥ ＭＵＳＩＣ
20240521220000 きのうの続きのつづき
20240521221500 ミヤリサン製薬 ラジオ劇場　下町ロケット　ヤタガラス編
20240521223000 池坊専宗の団子より花
20240521230000 Ｌｉｓｔｅｎ　ｔｏ　ｔｈｅ　Ｍｕｓｉｃ
20240521233000 東進産業プレゼンツ FOLLOW YOUR DREAM
20240522000000 ＮＯＷ　ラジオ　ｂｙ　ｕｎｉａｉｍ
20240522003000 埼玉 彩響のおもてなし
20240522010000 M-TRUST RADIO
20240522013000 ミヤシタ ファーム
20240522020000 キョートリアル！　～コンニチ的チュートリアル～
20240522023000 フォーエバーミュージック
20240522033000 Midnight Mix
20240522040000 おはよう歌一番
access auth1_fms...
generate particleKey...
access auth2_fms...
--------------------
authentication success.
area_id: JP13
http://radiko.jp/v3/program/date/20240522/JP13.xml
20240522050000 ラジオ日本ニュース
20240522051000 まいどあり～。
20240522052500 ラジオ日本パワーチューン
20240522053000 えんか侍
20240522055500 ラジオ日本ニュース・天気予報
20240522060000 ウェイクアップミュージック
20240522063000 岩瀬惠子のスマートＮＥＷＳ(1)
20240522070000 岩瀬惠子のスマートＮＥＷＳ(2)
20240522080000 岩瀬惠子のスマートＮＥＷＳ(3)
20240522085000 坂上みきのエンタメgo!go!
20240522090000 ＳＷＥＥＴ！！(1)
20240522100000 ＳＷＥＥＴ！！(2)
20240522110000 ＳＷＥＥＴ！！(3)
20240522115500 ラジオ日本ニュース・天気予報
20240522120000 加藤裕介の横浜ポップＪ(1)
20240522130000 加藤裕介の横浜ポップＪ(2)
20240522140000 加藤裕介の横浜ポップＪ(3)
20240522150000 夏木ゆたかのホッと歌謡曲(1)
20240522160000 夏木ゆたかのホッと歌謡曲(2)
